station_name,measurement_timestamp,solar_radiation,radiation_danger,hour_e,day_e,month_e,year_e,Sensor_Latitude,Sensor_Longitude
Oak Street Weather Station,2016-12-24 07:00:00,3,Safe,7,24,12,2016,41.901997,-87.622817
Oak Street Weather Station,2016-12-24 04:00:00,3,Safe,4,24,12,2016,41.901997,-87.622817
Foster Weather Station,2016-12-24 02:00:00,0,Safe,2,24,12,2016,41.976464,-87.647525
Oak Street Weather Station,2016-12-24 02:00:00,3,Safe,2,24,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-23 22:00:00,4,Safe,22,23,12,2016,41.780992,-87.572619
Oak Street Weather Station,2016-12-23 21:00:00,3,Safe,21,23,12,2016,41.901997,-87.622817
Oak Street Weather Station,2016-12-23 19:00:00,2,Safe,19,23,12,2016,41.901997,-87.622817
Oak Street Weather Station,2016-12-23 13:00:00,41,Safe,13,23,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-23 11:00:00,85,Safe,11,23,12,2016,41.780992,-87.572619
63rd Street Weather Station,2016-12-23 09:00:00,60,Safe,9,23,12,2016,41.780992,-87.572619
63rd Street Weather Station,2016-12-23 08:00:00,27,Safe,8,23,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-23 08:00:00,0,Safe,8,23,12,2016,41.976464,-87.647525
Oak Street Weather Station,2016-12-23 03:00:00,2,Safe,3,23,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-23 02:00:00,4,Safe,2,23,12,2016,41.780992,-87.572619
63rd Street Weather Station,2016-12-23 01:00:00,4,Safe,1,23,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-22 20:00:00,0,Safe,20,22,12,2016,41.976464,-87.647525
Oak Street Weather Station,2016-12-22 20:00:00,2,Safe,20,22,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-22 18:00:00,4,Safe,18,22,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-22 15:00:00,0,Safe,15,22,12,2016,41.976464,-87.647525
Oak Street Weather Station,2016-12-22 15:00:00,19,Safe,15,22,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-22 13:00:00,402,Slightly dangerous,13,22,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-22 13:00:00,0,Safe,13,22,12,2016,41.976464,-87.647525
63rd Street Weather Station,2016-12-22 08:00:00,46,Safe,8,22,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-22 08:00:00,0,Safe,8,22,12,2016,41.976464,-87.647525
Oak Street Weather Station,2016-12-22 08:00:00,24,Safe,8,22,12,2016,41.901997,-87.622817
Oak Street Weather Station,2016-12-22 07:00:00,2,Safe,7,22,12,2016,41.901997,-87.622817
Foster Weather Station,2016-12-21 22:00:00,0,Safe,22,21,12,2016,41.976464,-87.647525
Foster Weather Station,2016-12-21 21:00:00,0,Safe,21,21,12,2016,41.976464,-87.647525
Oak Street Weather Station,2016-12-21 19:00:00,2,Safe,19,21,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-21 18:00:00,4,Safe,18,21,12,2016,41.780992,-87.572619
Oak Street Weather Station,2016-12-21 16:00:00,7,Safe,16,21,12,2016,41.901997,-87.622817
Foster Weather Station,2016-12-21 12:00:00,0,Safe,12,21,12,2016,41.976464,-87.647525
Foster Weather Station,2016-12-21 11:00:00,0,Safe,11,21,12,2016,41.976464,-87.647525
63rd Street Weather Station,2016-12-21 06:00:00,5,Safe,6,21,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-21 06:00:00,0,Safe,6,21,12,2016,41.976464,-87.647525
Oak Street Weather Station,2016-12-21 06:00:00,2,Safe,6,21,12,2016,41.901997,-87.622817
Oak Street Weather Station,2016-12-21 01:00:00,2,Safe,1,21,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-21 00:00:00,5,Safe,0,21,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-20 21:00:00,0,Safe,21,20,12,2016,41.976464,-87.647525
63rd Street Weather Station,2016-12-20 19:00:00,5,Safe,19,20,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-20 19:00:00,0,Safe,19,20,12,2016,41.976464,-87.647525
63rd Street Weather Station,2016-12-20 13:00:00,285,Moderately safe,13,20,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-20 11:00:00,0,Safe,11,20,12,2016,41.976464,-87.647525
63rd Street Weather Station,2016-12-20 08:00:00,64,Safe,8,20,12,2016,41.780992,-87.572619
